un class,dangerous goods,division,classification
1,"Explosives",1.1,"Substances and articles which have a mass explosion hazard"
1,"Explosives",1.2,"Substances and articles which have a projection hazard but not a mass explosion hazard"
1,"Explosives",1.3,"Substances and articles which have a fire hazard and either a minor blast hazard or a minor projection hazard or both, but not a mass explosion hazard"
1,"Explosives",1.4,"Substances and articles which present no significant hazard"
1,"Explosives", 1.5,"Very insensitive substances which have a mass explosion hazard"
1,"Explosives", 1.6,"Extremely insensitive articles which do not have a mass explosion hazard"
2,"Gases",2.1,"Flamable Gas"
2,"Gases",2.2,"Non-Flamable, non-toxic gas"
2,"Gases",2.3,"Toxic Gas"
3,"Flammable Liquid",3.0,"Flammable Liquid"
4,"Flammable Solids",4.1,"Flammable solids, self-reactive substances and desensitized explosives"
4,"Flammable Solids",4.2,"Substances liable to spontaneous combustion"
4,"Flammable Solids",4.3,"Substances which, in contact with water, emit flammable gases"
5,"Oxidizers and organic peroxides",5.1,"Oxidising substance"
5,"Oxidizers and organic peroxides",5.2,"Organic peroxide"
6,"Toxic and infectious substances",6.1,"Toxic substance"
6,"Toxic and infectious substances",6.2,"Infectious substance"
7,"Radioactive material",7.0,"Radioactive Material"
8,"Corrosive substances",8.0,"Corrosive substance"
9,"Miscellaneous dangerous substances",9.0,"Miscellaneous dangerous substances"
